src_path,dest_path,ops,alpha,beta,delta_s,gamma,too_dark_ratio,too_bright_ratio
org-data\landscape_dataset\forest_landscape\forest_landscape_0.jpg,adjusted-data\new\forest_landscape_0.jpg,contrast+saturation+brightness,0.7448918538034762,-43.25544857698273,-39.75048238284925,1.0,0.028459821428571428,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_1.jpg,adjusted-data\new\forest_landscape_1.jpg,contrast+saturation+brightness,0.5317826794817836,-48.756571216608904,-26.733910660926043,1.0,0.05839445153061224,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_10.jpg,adjusted-data\new\forest_landscape_10.jpg,brightness+saturation+gamma,1.0,-33.54712535511639,8.92656838759087,1.4332026393489572,0.011977838010204082,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_11.jpg,adjusted-data\new\forest_landscape_11.jpg,contrast,0.8589793804846284,0.0,0.0,1.0,0.0,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_12.jpg,adjusted-data\new\forest_landscape_12.jpg,saturation+contrast,1.2297317866938178,0.0,3.6228091454700717,1.0,1.992984693877551e-05,0.008370535714285714
org-data\landscape_dataset\forest_landscape\forest_landscape_13.jpg,adjusted-data\new\forest_landscape_13.jpg,saturation+contrast,0.8701809671168826,0.0,-29.04929692285123,1.0,5.978954081632653e-05,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_14.jpg,adjusted-data\new\forest_landscape_14.jpg,contrast+saturation,1.1349782881970603,0.0,3.4139877029708003,1.0,0.0,0.029854910714285716
org-data\landscape_dataset\forest_landscape\forest_landscape_15.jpg,adjusted-data\new\forest_landscape_15.jpg,gamma+brightness,1.0,-27.60626078588664,0.0,1.595547651469705,0.0045639349489795915,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_16.jpg,adjusted-data\new\forest_landscape_16.jpg,brightness+saturation+gamma,1.0,41.142230422777146,27.599991154624476,0.6206673007497461,0.0,5.978954081632653e-05
org-data\landscape_dataset\forest_landscape\forest_landscape_17.jpg,adjusted-data\new\forest_landscape_17.jpg,saturation,1.0,0.0,-9.883521297767103,1.0,0.007653061224489796,0.0006776147959183673
org-data\landscape_dataset\forest_landscape\forest_landscape_18.jpg,adjusted-data\new\forest_landscape_18.jpg,saturation,1.0,0.0,-28.73734559458594,1.0,0.00029894770408163266,0.0027702487244897957
org-data\landscape_dataset\forest_landscape\forest_landscape_19.jpg,adjusted-data\new\forest_landscape_19.jpg,saturation+gamma,1.0,0.0,8.45859902235405,1.5569520370434677,0.0003985969387755102,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_2.jpg,adjusted-data\new\forest_landscape_2.jpg,brightness+contrast,1.0095262936764646,-49.09087053914473,0.0,1.0,0.004803093112244898,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_20.jpg,adjusted-data\new\forest_landscape_20.jpg,contrast,0.6528413193482611,0.0,0.0,1.0,0.002730389030612245,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_21.jpg,adjusted-data\new\forest_landscape_21.jpg,gamma,1.0,0.0,0.0,1.1349726430247633,0.0009367028061224489,0.00015943877551020407
org-data\landscape_dataset\forest_landscape\forest_landscape_22.jpg,adjusted-data\new\forest_landscape_22.jpg,gamma+saturation,1.0,0.0,-24.85858800181868,1.0745162547014024,0.029496173469387755,0.008151307397959183
org-data\landscape_dataset\forest_landscape\forest_landscape_23.jpg,adjusted-data\new\forest_landscape_23.jpg,contrast+saturation+brightness+gamma,0.6115521735958764,-7.828169919707399,-4.627629367079358,1.635342298529512,0.014369419642857142,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_24.jpg,adjusted-data\new\forest_landscape_24.jpg,saturation+gamma+contrast,1.0076816746043251,0.0,-39.3589177202295,1.1754202709929844,0.0001992984693877551,0.0064572704081632655
org-data\landscape_dataset\forest_landscape\forest_landscape_25.jpg,adjusted-data\new\forest_landscape_25.jpg,brightness+contrast+gamma,1.2625108000751513,4.725483614355085,0.0,1.3900770700827816,0.0,0.02188297193877551
org-data\landscape_dataset\forest_landscape\forest_landscape_26.jpg,adjusted-data\new\forest_landscape_26.jpg,contrast+saturation,0.8241560570046731,0.0,-48.05232576141677,1.0,0.001175860969387755,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_27.jpg,adjusted-data\new\forest_landscape_27.jpg,saturation+contrast+gamma+brightness,1.3780095992040406,53.63393343575929,-41.43465479321212,0.9803866486432593,0.0,0.012775031887755101
org-data\landscape_dataset\forest_landscape\forest_landscape_28.jpg,adjusted-data\new\forest_landscape_28.jpg,brightness,1.0,-44.593024260028464,0.0,1.0,0.03314333545918367,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_29.jpg,adjusted-data\new\forest_landscape_29.jpg,brightness+gamma,1.0,3.3208544901904773,0.0,1.1492314844756804,0.0,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_3.jpg,adjusted-data\new\forest_landscape_3.jpg,brightness,1.0,-52.31689244083861,0.0,1.0,0.0,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_4.jpg,adjusted-data\new\forest_landscape_4.jpg,brightness,1.0,10.61281372924212,0.0,1.0,0.0,0.0016143176020408164
org-data\landscape_dataset\forest_landscape\forest_landscape_5.jpg,adjusted-data\new\forest_landscape_5.jpg,contrast,0.7289417838111544,0.0,0.0,1.0,0.01696029974489796,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_6.jpg,adjusted-data\new\forest_landscape_6.jpg,saturation+contrast+gamma+brightness,1.1689777782962807,-34.29158311554737,-36.768815127497504,1.6097199368129393,0.0,0.0006776147959183673
org-data\landscape_dataset\forest_landscape\forest_landscape_7.jpg,adjusted-data\new\forest_landscape_7.jpg,gamma+contrast,1.2846194242907534,0.0,0.0,1.4304957968733008,0.0,0.019909917091836735
org-data\landscape_dataset\forest_landscape\forest_landscape_8.jpg,adjusted-data\new\forest_landscape_8.jpg,contrast,1.1589827495146632,0.0,0.0,1.0,0.0,0.011798469387755101
org-data\landscape_dataset\forest_landscape\forest_landscape_9.jpg,adjusted-data\new\forest_landscape_9.jpg,gamma+brightness,1.0,43.66040980435238,0.0,0.3758396621250387,0.004723373724489796,0.013911033163265306
