src_path,dest_path,ops,alpha,beta,delta_s,gamma,too_dark_ratio,too_bright_ratio
org-data\landscape_dataset\forest_landscape\forest_landscape_0.jpg,adjusted-data\new\forest_landscape_0.jpg,contrast+saturation+brightness,0.8846905195919119,-21.627724288491365,-19.875241191424625,1.0,0.04067681760204082,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_1.jpg,adjusted-data\new\forest_landscape_1.jpg,brightness+saturation+gamma,1.0,-16.773562677558196,4.463284193795435,1.235658274006696,0.07220583545918367,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_10.jpg,adjusted-data\new\forest_landscape_10.jpg,brightness,1.0,11.888363699293613,0.0,1.0,0.0,0.05004384566326531
org-data\landscape_dataset\forest_landscape\forest_landscape_11.jpg,adjusted-data\new\forest_landscape_11.jpg,contrast,0.9474386592665456,0.0,0.0,1.0,0.0,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_12.jpg,adjusted-data\new\forest_landscape_12.jpg,saturation+contrast,1.1513524826815997,0.0,1.8114045727350359,1.0,1.992984693877551e-05,0.004344706632653061
org-data\landscape_dataset\forest_landscape\forest_landscape_13.jpg,adjusted-data\new\forest_landscape_13.jpg,saturation+contrast,0.9535995319142855,0.0,-14.524648461425615,1.0,5.978954081632653e-05,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_14.jpg,adjusted-data\new\forest_landscape_14.jpg,contrast+saturation,1.0992380585083832,0.0,1.7069938514854002,1.0,0.0,0.016741071428571428
org-data\landscape_dataset\forest_landscape\forest_landscape_15.jpg,adjusted-data\new\forest_landscape_15.jpg,gamma+brightness,1.0,-13.80313039294332,0.0,1.3052347077727307,0.07954001913265306,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_16.jpg,adjusted-data\new\forest_landscape_16.jpg,brightness+saturation+gamma,1.0,20.571115211388573,13.799995577312238,0.8874288431784627,0.0,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_17.jpg,adjusted-data\new\forest_landscape_17.jpg,saturation,1.0,0.0,-4.941760648883552,1.0,0.0077128507653061226,0.0004384566326530612
org-data\landscape_dataset\forest_landscape\forest_landscape_18.jpg,adjusted-data\new\forest_landscape_18.jpg,saturation,1.0,0.0,-14.36867279729297,1.0,0.0003786670918367347,0.002291932397959184
org-data\landscape_dataset\forest_landscape\forest_landscape_19.jpg,adjusted-data\new\forest_landscape_19.jpg,gamma+contrast,0.8956840915739288,0.0,0.0,0.8979765046163901,0.020746970663265307,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_2.jpg,adjusted-data\new\forest_landscape_2.jpg,saturation+gamma,1.0,0.0,4.229299511177025,1.2886937301614863,0.0002192283163265306,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_20.jpg,adjusted-data\new\forest_landscape_20.jpg,contrast,0.8340627256415436,0.0,0.0,1.0,0.0015146683673469387,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_21.jpg,adjusted-data\new\forest_landscape_21.jpg,gamma,1.0,0.0,0.0,1.1078454184391844,0.001136001275510204,0.00011957908163265306
org-data\landscape_dataset\forest_landscape\forest_landscape_22.jpg,adjusted-data\new\forest_landscape_22.jpg,gamma+saturation,1.0,0.0,-12.42929400090934,1.0819355377291726,0.029675542091836735,0.006218112244897959
org-data\landscape_dataset\forest_landscape\forest_landscape_23.jpg,adjusted-data\new\forest_landscape_23.jpg,contrast+saturation+brightness+gamma,0.8113536954777321,-3.9140849598536995,-2.313814683539679,1.322289556512648,0.00013950892857142856,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_24.jpg,adjusted-data\new\forest_landscape_24.jpg,saturation+gamma+contrast,1.029224921032379,0.0,-19.67945886011475,1.1251801161398505,0.00033880739795918367,0.022042410714285716
org-data\landscape_dataset\forest_landscape\forest_landscape_25.jpg,adjusted-data\new\forest_landscape_25.jpg,brightness+contrast+gamma,1.1693809400413333,2.3627418071775423,0.0,1.217175887178335,3.985969387755102e-05,0.008669483418367346
org-data\landscape_dataset\forest_landscape\forest_landscape_26.jpg,adjusted-data\new\forest_landscape_26.jpg,contrast+saturation,0.9282858313525703,0.0,-24.026162880708384,1.0,0.0010762117346938774,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_27.jpg,adjusted-data\new\forest_landscape_27.jpg,saturation+contrast+gamma+brightness,1.2329052795622224,26.816966717879644,-20.71732739660606,1.0415942779899683,0.0,0.001793686224489796
org-data\landscape_dataset\forest_landscape\forest_landscape_28.jpg,adjusted-data\new\forest_landscape_28.jpg,brightness,1.0,-22.296512130014232,0.0,1.0,0.006596779336734694,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_29.jpg,adjusted-data\new\forest_landscape_29.jpg,brightness+gamma,1.0,1.6604272450952386,0.0,1.1139563504895773,5.978954081632653e-05,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_3.jpg,adjusted-data\new\forest_landscape_3.jpg,brightness,1.0,-26.158446220419304,0.0,1.0,0.00015943877551020407,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_4.jpg,adjusted-data\new\forest_landscape_4.jpg,brightness,1.0,5.30640686462106,0.0,1.0,0.0,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_5.jpg,adjusted-data\new\forest_landscape_5.jpg,contrast,0.875917981096135,0.0,0.0,1.0,0.00821109693877551,0.0
org-data\landscape_dataset\forest_landscape\forest_landscape_6.jpg,adjusted-data\new\forest_landscape_6.jpg,saturation+contrast+gamma+brightness,1.1179377780629545,-17.145791557773684,-18.384407563748752,1.3113085443484027,0.0001992984693877551,0.0006178252551020409
org-data\landscape_dataset\forest_landscape\forest_landscape_7.jpg,adjusted-data\new\forest_landscape_7.jpg,gamma+contrast,1.1815406833599145,0.0,0.0,1.2344981986599861,0.0,0.007513552295918368
org-data\landscape_dataset\forest_landscape\forest_landscape_8.jpg,adjusted-data\new\forest_landscape_8.jpg,contrast,1.1124405122330647,0.0,0.0,1.0,0.0,0.006975446428571429
org-data\landscape_dataset\forest_landscape\forest_landscape_9.jpg,adjusted-data\new\forest_landscape_9.jpg,gamma+brightness,1.0,21.83020490217619,0.0,0.7825027123393024,0.0,0.00603874362244898
